match_id,date,venue,city,innings,team,team_total_score,overs_played
1276907,12-07-2022,"Kennington Oval, London",London,1,England,110,25.8
1276907,12-07-2022,"Kennington Oval, London",London,2,India,114,19.5
1276908,14-07-2022,"Lord's, London",London,1,England,246,50.5
1276908,14-07-2022,"Lord's, London",London,2,India,146,39
1276909,17-07-2022,"Old Trafford, Manchester",Manchester,1,England,259,47.7
1276909,17-07-2022,"Old Trafford, Manchester",Manchester,2,India,261,42.7
1276910,19-07-2022,"Riverside Ground, Chester-le-Street",Chester-le-Street,1,South Africa,333,51.2
1276910,19-07-2022,"Riverside Ground, Chester-le-Street",Chester-le-Street,2,England,271,48.2
1276911,22-07-2022,"Old Trafford, Manchester",Manchester,1,England,201,28.8
1276911,22-07-2022,"Old Trafford, Manchester",Manchester,2,South Africa,83,21.2
1276912,24-07-2022,"Headingley, Leeds",Leeds,1,South Africa,159,28.3
1277082,19-01-2022,"Boland Park, Paarl",Paarl,1,South Africa,296,52
1277082,19-01-2022,"Boland Park, Paarl",Paarl,2,India,265,51.8
1277083,21-01-2022,"Boland Park, Paarl",Paarl,1,India,287,51.8
1277083,21-01-2022,"Boland Park, Paarl",Paarl,2,South Africa,288,49
1277084,23-01-2022,"Newlands, Cape Town",Cape Town,1,South Africa,287,51.8
1277084,23-01-2022,"Newlands, Cape Town",Cape Town,2,India,283,50.8
1277085,08-01-2022,"Sabina Park, Kingston, Jamaica",Kingston,1,West Indies,269,50.8
1277085,08-01-2022,"Sabina Park, Kingston, Jamaica",Kingston,2,Ireland,245,50.7
1277086,13-01-2022,"Sabina Park, Kingston, Jamaica",Kingston,1,West Indies,229,51.2
1277086,13-01-2022,"Sabina Park, Kingston, Jamaica",Kingston,2,Ireland,168,33.7
1277087,16-01-2022,"Sabina Park, Kingston, Jamaica",Kingston,1,West Indies,212,46.2
1277087,16-01-2022,"Sabina Park, Kingston, Jamaica",Kingston,2,Ireland,214,47.8
1277097,18-03-2022,"SuperSport Park, Centurion",Centurion,1,Bangladesh,314,52.2
1277097,18-03-2022,"SuperSport Park, Centurion",Centurion,2,South Africa,276,50.2
1277098,20-03-2022,"The Wanderers Stadium, Johannesburg",Johannesburg,1,Bangladesh,194,51.7
