match_id,date,venue,city,innings,team,team_total_score,overs_played,latitude,longitude,temperature_c,humidity_pct,rain_48hr_mm
1276907,12-07-2022,"Kennington Oval, London",London,1,England,110,25.8,51.4821031,-0.1117327,29.1,39,0
1276907,12-07-2022,"Kennington Oval, London",London,2,India,114,19.5,51.4821031,-0.1117327,27.5,39,0
1276908,14-07-2022,"Lord's, London",London,1,England,246,50.5,51.5289277,-0.1715767,24.3,35,0
1276908,14-07-2022,"Lord's, London",London,2,India,146,39,51.5289277,-0.1715767,21.2,37,0
1276909,17-07-2022,"Old Trafford, Manchester",Manchester,1,England,259,47.7,53.4505995,-2.2731972,28.5,30,1.3
1276909,17-07-2022,"Old Trafford, Manchester",Manchester,2,India,261,42.7,53.4505995,-2.2731972,27,42,1.3
1276910,19-07-2022,"Riverside Ground, Chester-le-Street",Chester-le-Street,1,South Africa,333,51.2,54.8496667,-1.5609563,34.8,30,0.2
1276910,19-07-2022,"Riverside Ground, Chester-le-Street",Chester-le-Street,2,England,271,48.2,54.8496667,-1.5609563,27.2,57,0.2
1276911,22-07-2022,"Old Trafford, Manchester",Manchester,1,England,201,28.8,53.4505995,-2.2731972,17,79,9
1276911,22-07-2022,"Old Trafford, Manchester",Manchester,2,South Africa,83,21.2,53.4505995,-2.2731972,17,89,9
1276912,24-07-2022,"Headingley, Leeds",Leeds,1,South Africa,159,28.3,53.8210076,-1.5777737,23.1,62,1.6
1277082,19-01-2022,"Boland Park, Paarl",Paarl,1,South Africa,296,52,-33.7406522,18.9974819,31.1,16,0
1277082,19-01-2022,"Boland Park, Paarl",Paarl,2,India,265,51.8,-33.7406522,18.9974819,22.1,53,0
1277083,21-01-2022,"Boland Park, Paarl",Paarl,1,India,287,51.8,-33.7406522,18.9974819,37.6,18,0
1277083,21-01-2022,"Boland Park, Paarl",Paarl,2,South Africa,288,49,-33.7406522,18.9974819,28.6,43,0
1277084,23-01-2022,"Newlands, Cape Town",Cape Town,1,South Africa,287,51.8,-33.9742832,18.4572951,28,56,0
1277084,23-01-2022,"Newlands, Cape Town",Cape Town,2,India,283,50.8,-33.9742832,18.4572951,20.5,90,0
1277085,08-01-2022,"Sabina Park, Kingston, Jamaica",Kingston,1,West Indies,269,50.8,17.9712148,-76.7928128,29.3,53,0.2
1277085,08-01-2022,"Sabina Park, Kingston, Jamaica",Kingston,2,Ireland,245,50.7,17.9712148,-76.7928128,24.7,79,0.2
1277086,13-01-2022,"Sabina Park, Kingston, Jamaica",Kingston,1,West Indies,229,51.2,17.9712148,-76.7928128,27,66,1.8
1277086,13-01-2022,"Sabina Park, Kingston, Jamaica",Kingston,2,Ireland,168,33.7,17.9712148,-76.7928128,23.7,82,1.8
1277087,16-01-2022,"Sabina Park, Kingston, Jamaica",Kingston,1,West Indies,212,46.2,17.9712148,-76.7928128,27.8,63,0
1277087,16-01-2022,"Sabina Park, Kingston, Jamaica",Kingston,2,Ireland,214,47.8,17.9712148,-76.7928128,25.2,79,0
1277097,18-03-2022,"SuperSport Park, Centurion",Centurion,1,Bangladesh,314,52.2,-25.8596237,28.1956445,23.4,42,0
1277097,18-03-2022,"SuperSport Park, Centurion",Centurion,2,South Africa,276,50.2,-25.8596237,28.1956445,17.5,64,0
